"logFC" "logCPM" "PValue" "FDR" "promoter_ID"
"JGI_V11_299824.1" -7.22935913477161 3.26555796615485 7.20702459465545e-13 2.85560822752438e-11 "scaffold_11_1428319_1428362_-"
"JGI_V11_189944" 7.5989548041064 3.67296124245506 8.2017069302338e-13 3.21223006425272e-11 "scaffold_10_521208_521212_+"
"JGI_V11_39928" 7.46781791347455 3.98416634012491 8.42823680468662e-13 3.28830403762927e-11 "scaffold_14_1303587_1303588_-"
"JGI_V11_39283" 3.34629276281529 5.49992931805341 8.68721734037115e-13 3.36948099976092e-11 "scaffold_6_612934_613000_+"
"JGI_V11_299831" -1.70547792754642 6.58947689694591 8.7024796517443e-13 3.36948099976092e-11 "scaffold_2_252250_252303_+"
"JGI_V11_299834" -7.21536150025991 3.26938491866805 8.87701755058312e-13 3.4240405196056e-11 "scaffold_29_40789_40794_+"
"JGI_V11_300045" 1.70237436494467 7.3457111190755 9.33214330941912e-13 3.57252689172237e-11 "scaffold_1_4155581_4155648_-"
"JGI_V11_309643" 2.17282225039337 6.54188250960985 9.59551139236794e-13 3.65959147971845e-11 "scaffold_49_695508_695518_+"
"JGI_V11_220033" 7.48472235026162 4.55771544551965 9.97051910418873e-13 3.78842522529678e-11 "scaffold_15_157022_157041_-"
"JGI_V11_39456" -2.26876959151794 4.99802970066528 1.18147846744395e-12 4.43948163615564e-11 "scaffold_78_143818_143874_+"
"JGI_V11_186919" -1.85586132935459 7.79283488600106 1.26148693008729e-12 4.72269169451431e-11 "scaffold_15_99623_99631_-"
"JGI_V11_309661" -7.12278917080325 2.87437657927266 1.48083229572792e-12 5.4833873699627e-11 "scaffold_28_1162331_1162336_-"
"JGI_V11_205163" -1.89593242666017 5.55302632499463 2.37438415306756e-12 8.6043963810274e-11 "scaffold_2_2811532_2811634_+"
"JGI_V11_299847" -7.14987589766522 3.02784096811937 2.48776542842673e-12 8.98330331832248e-11 "scaffold_6_814159_814173_-"
"JGI_V11_232298" -1.39379777710546 6.82958075784137 2.93204820702043e-12 1.04395268853458e-10 "scaffold_40_709720_709798_-"
"JGI_V11_232298.1" -2.61309513009506 6.46841372443148 3.06504156530234e-12 1.08750237837888e-10 "scaffold_17_1296104_1296114_-"
"JGI_V11_232298.2" -1.65274927927175 6.86038416789936 3.2596530114939e-12 1.15253634083481e-10 "scaffold_107_66338_66492_-"
"JGI_V11_205191" 8.30400429292381 4.2789133014751 3.4953237693471e-12 1.23158761049348e-10 "scaffold_10_506358_506362_-"
"JGI_V11_299857" -7.25425105110068 3.21767271448589 3.79570763690128e-12 1.32823679953834e-10 "scaffold_135_308101_308121_-"
"JGI_V11_300069" 7.60204476328914 3.67487021616138 3.83510565322277e-12 1.33742742694409e-10 "scaffold_10_38885_38888_+"
"JGI_V11_300069.1" -7.040308369223 3.448563565334 4.47276468100969e-12 1.55447654425671e-10 "scaffold_109_329064_329086_+"
"JGI_V11_205205" 1.22234330805853 8.50710401395677 5.62604422135341e-12 1.93547325358249e-10 "scaffold_30_625282_625360_+"
"JGI_V11_205205.1" -7.06839932450947 2.83681277151506 6.0844502549854e-12 2.0861264965157e-10 "scaffold_5_2267790_2267798_-"
