"MvMf" "pEvM" "MfvpE" "MvF" "AvS"
"scaffold_1_1780439_1780487_-" 0 0 0 0 0
"scaffold_1_1855091_1855271_-" 0 0 0 0 0
"scaffold_1_1855379_1855389_-" 0 0 0 0 0
"scaffold_1_1858843_1858999_-" 0 0 0 0 0
"scaffold_1_1862498_1862617_-" 0 0 0 0 0
"scaffold_1_1863841_1863882_-" 1 0 -1 0 0
"scaffold_1_1867471_1867643_-" 0 0 0 0 0
"scaffold_1_1868270_1868437_-" 0 0 0 0 0
"scaffold_1_1877789_1877894_-" 1 -1 0 1 0
"scaffold_1_1885713_1886038_-" -1 1 1 -1 0
"scaffold_1_1892611_1892650_-" 1 0 0 1 0
"scaffold_1_1893142_1893200_-" 0 0 0 0 0
"scaffold_1_1896227_1896282_-" 0 0 0 0 0
"scaffold_1_1900986_1901097_-" 0 0 0 0 0
"scaffold_1_1903510_1903613_-" 0 0 0 0 0
"scaffold_1_1908646_1908698_-" 0 0 0 0 0
"scaffold_1_1919014_1919134_-" 0 0 0 0 0
"scaffold_1_1925609_1925792_-" 0 0 0 0 0
"scaffold_1_1926426_1926550_-" 1 0 -1 0 0
"scaffold_1_1930613_1930745_-" 0 0 0 0 0
"scaffold_1_1945071_1945080_-" 0 0 0 0 0
"scaffold_1_1984927_1985020_-" 0 0 0 0 0
"scaffold_1_2053651_2053702_-" 0 0 0 0 0
"scaffold_1_2067937_2068133_-" 0 0 0 0 0
"scaffold_1_2072010_2072033_-" 0 0 0 0 0
"scaffold_1_2075295_2075435_-" 0 0 0 0 0
"scaffold_1_2077562_2077696_-" 0 0 0 0 0
"scaffold_1_2079196_2079430_-" 0 0 0 0 0
"scaffold_1_2082718_2082872_-" -1 0 1 -1 0
"scaffold_1_2091692_2091746_-" 0 0 0 0 0
"scaffold_1_2208483_2208522_-" 1 -1 0 1 0
"scaffold_1_2210137_2210190_-" 1 -1 0 1 0
"scaffold_1_2212900_2213002_-" 1 0 0 0 0
"scaffold_1_2239268_2239382_-" 0 0 0 0 0
