"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"scaffold_182_157965_157972_+" 3.21208370282941 2.92214104769619 12.3516375355213 2.57655391500774e-09 9.88329127238827e-09 11.4872869106772
"scaffold_90_185018_185864_+" 2.35147070324787 2.2594873575435 12.3489859750516 2.58423541394852e-09 9.91187885488079e-09 11.5744935547641
"scaffold_56_409823_409999_-" 2.1197534000029 2.37483518446423 12.3409044658627 2.60779742255397e-09 1.00013659493293e-08 11.5839550843774
"scaffold_1_335720_336044_+" 2.14446775288764 2.11134056031518 12.333794266401 2.6287158490557e-09 1.00806994933782e-08 11.5718325352584
"scaffold_8_951615_952174_-" 2.0988195155048 1.9726411513749 12.3327888207113 2.63168822405816e-09 1.00912048849937e-08 11.5787139987589
"scaffold_21_621371_623429_-" 2.42090000142765 1.97355942776382 12.3311501248287 2.63654029806069e-09 1.01089154826352e-08 11.5424210533972
"scaffold_35_765129_765245_+" 3.20051174646795 2.76416072702409 12.3273816083941 2.64773464549345e-09 1.01509380807583e-08 11.4604060982755
"scaffold_25_1058648_1058959_+" 2.25182838001037 2.20155428106561 12.3258682483638 2.65224423614305e-09 1.01673273557896e-08 11.5564254910201
"scaffold_11_595960_596233_+" 2.01031589421658 0.568994619765871 12.3181557992788 2.67535299959651e-09 1.02550069946491e-08 11.5689191515217
"scaffold_5_2387024_2387064_+" 2.29456711476821 1.78747101870527 12.3166289215957 2.67995322707214e-09 1.02717315566284e-08 11.5384936451488
"scaffold_29_553287_553356_+" 2.13563026795141 2.1212162139907 12.3142130729315 2.68724890983412e-09 1.02987833938499e-08 11.5528349873108
"scaffold_11_747896_748119_-" 2.44799555674669 2.19715600995799 12.3051116444168 2.71492414407421e-09 1.04039274249212e-08 11.5110404375567
"scaffold_41_200872_201547_-" 2.26408358114923 2.37673796508728 12.3048155912226 2.71582942717077e-09 1.04064761441232e-08 11.5285664989537
"scaffold_16_666532_666723_+" 2.18625931128626 2.49242905473089 12.3027604792336 2.72212245484377e-09 1.04296672690627e-08 11.534682686273
"scaffold_2_612462_612582_-" 2.29498257465394 1.72698495747333 12.3016593660286 2.72550056762126e-09 1.04416869389653e-08 11.5204735645527
"scaffold_5229_1212_2577_+" 2.6521954140106 2.95745323050217 12.2982768337183 2.73590567898313e-09 1.04806232933354e-08 11.4830606768798
"scaffold_5_1002975_1003225_-" 3.82204774062337 4.32170171513703 12.2958177610013 2.74349653272947e-09 1.05087729446589e-08 11.3658913287865
"scaffold_211_119611_120112_-" 2.09223572125223 1.92460689329158 12.2930570413438 2.75204513768012e-09 1.05405858941946e-08 11.5343041841656
"scaffold_18_1179472_1179865_+" 2.27865777236425 2.71899167616889 12.2901003690254 2.76123182897321e-09 1.05748369329173e-08 11.5114426146261
