"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"scaffold_61_505370_505392_+" 2.51996049548869 2.82282180661389 12.2880518566708 2.76761582854784e-09 1.10863279759305e-08 11.5418559890739
"scaffold_91_354838_355207_-" 3.1908975111474 3.77908173588649 12.2798860274433 2.79321976631052e-09 1.11878561149274e-08 11.4640076645666
"scaffold_1_2405410_2405487_-" 2.34388174900954 2.6415823317296 12.2790898397623 2.79572960842223e-09 1.11968738227493e-08 11.5434050194078
"scaffold_198_14039_14312_-" 2.25732625477881 2.11381088151253 12.2690170503525 2.82768952679906e-09 1.13238262721227e-08 11.5427465795876
"scaffold_117_378228_378757_+" 2.24538507102744 2.20245530276453 12.2682692443427 2.83007762816476e-09 1.13323422659766e-08 11.544383894247
"scaffold_7_649494_649803_+" 2.25602714396453 2.9554550246776 12.2673709342272 2.83294918734502e-09 1.13427923935782e-08 11.5394114645369
"scaffold_30_982791_983699_-" 2.3174234836231 2.44615023462613 12.2650852618504 2.84026955445307e-09 1.13710514430081e-08 11.5331418048114
"scaffold_29_1034820_1035566_-" 2.62647023388964 2.69502644486145 12.2632393445653 2.84619614181752e-09 1.13937257729267e-08 11.5018248530128
"scaffold_17_682777_682967_+" 2.28979463612659 2.50636988222616 12.2497081061761 2.89004235401431e-09 1.15681795112735e-08 11.5140188036453
"scaffold_163_41758_41997_-" 2.80098433639892 2.69322436086463 12.2470318628054 2.89879885369537e-09 1.16021578877788e-08 11.460400757192
"scaffold_77_480970_482469_-" 2.38800627616947 2.57225726118662 12.2443588151333 2.90757296965293e-09 1.16362004880088e-08 11.5015638200672
"scaffold_62_184749_184859_-" 2.2887347703295 2.64551985139583 12.2413239385223 2.91756889663509e-09 1.16751260751466e-08 11.5053378888879
"scaffold_67_598672_598792_-" 2.81899901058069 2.91485026416108 12.2348525977189 2.93900528109662e-09 1.17598210942734e-08 11.4529285648058
"scaffold_3_3075854_3076334_-" 3.39441478279446 3.17953556100892 12.2308175075705 2.95245599672705e-09 1.18122725490019e-08 11.3792227905565
"scaffold_47_627174_627531_-" 2.20121179030291 2.24412537317704 12.2307567034328 2.95265918168515e-09 1.18122725490019e-08 11.5017849887315
"scaffold_4_612892_612973_+" 2.64292522083545 1.62878456087304 12.2293466409744 2.95737524825688e-09 1.18300470876168e-08 11.4611876125758
